id_question,ref_ans
1_1,الدراسة التى تتناول جوانب الطبيعة بما يحدده حياة الكائن و كيفية استخدامه لمكونات البيئة.
1_2,كل ما يحيط بالإنسان من مكونات حية أو غير حية يؤثر فيها و يتأثر بها.
1_3,الإطار الذى يحيا فيه الإنسان مع غيره من الكائنات الحية و يحصل منها على مقومات حياته.
1_4,البيئة التى يشترك فيها الإنسان مع سائر الكائنات الحية.
1_5,البيئة التى يشترك فيها الإنسان مع أقرانه من البشر.
1_6,البيئة التى صنعها الإنسان بعلمه و تقدمه.
1_7,العلم الذى يعنى بدراسة التفاعل بين الحياة ومكونات البيئة من حيث:تطبيق المعلومات فى المجالات المعرفية (الفيزيائية و الكيمائية و البيولوجية و الإجتماعية و الإقتصادية).المحافظة على البيئة و حسن إستثمارها وعدم إهدارها.وقاية المجتمعات من الأثار الضارة التى تحدث بفعل الطبيعة أو التعامل غير السوى للإنسان مع البيئة.
1_8,الحيز الذى توجد به الحياة وهو يمتد من أكبر عمق توجد به الحياة فى البحار إلى أقصى إرتفاع توجد عليه الحياة فى الجبال ولا يزيد أقصى سمك له 14 كم.
1_9,نظام يصف كل ما يتعلق بالكائنات الحية و المكونات غير الحية من تفاعلات و تبادلات فى حيز محدود من الطبيعة مثل ( الغابة – الصحراء – النهر – البحر - الواحة ).
1_10,منظومة إيكولوجية معقدة من عمليات متشابكة و مترابطة تتميز بالعديد من المسارات التى تؤدى إلى تغير معدلات نمو الجماعات الحية و تصل بها إلى حالة مستقرة من التوازن فى إطار النظام ككل.
1_11,هى كائنات حية ذاتية التغذية مثل النباتات الخضراء التى تحول الطاقة الشمسية إلى طاقة كيميائية تدخر فى الغذاء عن طريق عملية البناء الضوئى.
1_12,هى كائنات غير ذاتية التغذية تعتمد على النباتات الخضراء كغذاء لها ، و هى قد تكون حيوانات عشبية أو حيوانات مفترسة.
1_13,كائنات مجهرية تتغذى على أجسام الكائنات الميتة حيث تحللها و تستمد منها الطاقة تاركة الأملاح و المواد الأخرى تعود إلى التربة، ومن أمثلتها البكتريا الرمية و الفطريات.
1_14,الحركة الموقعية للنبات نتيجة للنمو فى إتجاه يحدده موقع المؤثر من النبات كالضوء.
1_15,العلاقة بين فترة الإضاءة التى يحصل عليها النبات و فترة الإظلام التى يتعرض لها بعد ذلك بالتعاقب كل 24 سنة.
1_16,ظاهرة حيوية ذات طبيعة دورية تتم بإنتقال جماعة معينة من الحيوانات خلال أوقات أو مواسم معينة من مكان إلى أخر.
1_17,قدرة النظام البيئى على العودة إلى وضعه الأول بعد أى تغير يطرأ عليه دون حدوث أى تغير أساسى فى تكوينه.
1_18,كائنات نباتية أو حيوانية دقيقة الحجم تحملها الأمواج بلا مقاومة نظرا لصغر أجسامها.
2_1,تعدد المكونات (غير حية ، أحيائية)، تشابك العلاقات ،الإستقرار مع القابلية للتغير، إستخدام الفضلات.
2_2,تعتمد شدة الاستضاءة فى البحار على كمية الضوء النافذ خلال ماء البحر حيث ينعكس جزء منه على سطح الماء و يمتص جزء اخر و ينفذ الجزء المتبقى إلى عمق معين).، يتوقف العمق الذى يصل إليه الضوء النافذ على طول موجة الضوء:فالأشعة الحمراء: طويلة الموجة و تمتص فى الطبقات العليا للماء. توزيع شدة الاستضاءة فى مياه البحار: تقل الاستضاءة تدريجيا حتى عمق 500 متر تقريبا. يتلاشى الضوء بعد ذلك حتى يسود الظلام التام باقى عمق الماء.يلعب الضوء النافذ فى المياه السطحية للبحار دورا هاما فى :انتشار الكائنات النباتية حيث يوجد الضوء لتقوم بعملية البناء الضوئى و تختفى تماما فى المياه المظلمة. توزيع الأحياء التى تعتمد على الكائنات النباتية فى غذائها.
2_3,تتوافر فى المياه السطحية أملاح الفوسفات و النترات مما يساعد فى تكوين البروتين فى خلايا النباتات البحرية، مما يعمل على نمو و تكاثر تلك النباتات. تدور هذه العناصر بين الأحياء و المياه فى دورات منتظمة تبدأ بتحررها من أجسام الأحياء بعد موتها و ترسبها نحو القاع. كلما كانت المياه متحركة و بها تيارات صاعدة زاد توفر العناصر المغذية فيها مما يعمل على ازدهار الحياة النباتية فى طبقات المياه العليا و تزداد الحيوانات التى تتغذى عليها و تكثر الأسماك.
2_4,تتحمل الضغط الزائد للماء، تتحمل البرودة الشديدة فى الأعماق، تسطيع العيش فى الظلام الدامس.
2_5,الحشرات الصحراوية كالجراد و الخنافس و بعض الزواحف: اكتسبت أغطية جافة محكمة حول أجسامها للاحتفاظ بالماء.الثدييات الصحراوية مثل القوارض و الغزلان: معظمها ينشط ليلا أو فى الصباح الباكر و يختبئ بالنهار فى حفر أو كهوف رطبة. يتركز بولها و يشح عرقها للاقتصاد فى الماء ، حيث أن بعضها لا يقرب الماء طيلة حياته مثل اليرابيع التى تستخلص الماء من البذور و النباتات العصارية التى تتغذى عليها. الحيوانات المفترسة (مثل بعض الثعابين و ثعالب الفنك و الطيور الجارحة): تعتمد على دم الفرائس (اليرابيع) كمصدر للماء فى البيئة الصحراوية الجافة. أعدادها قليلة التوازن مع أعداد فرائسها غير المتوافرة. تتسم هى و فرائسها بحس حاد فى السمع و الشم و البصر من أجل التعايش فى هذه البيئة الصحراوية، فبعض هذه الحيوانات لها آذان كبيرة مثل ثعلب الفنك لتجميع الموجات الصوتية من مسافات بعيدة و للمساهمة فى إشعاع الحرارة من الجسم.
2_6,يكتشف الإنسان فائدة الشئ ثم يخترع الإنسان وسائل الحصول على هذا الشئ و يطور هذه الوسائل. ينهض الإنسان بالعمل على هذا الشئ و تحويله إلى مورد دائم  أى إلى ثورة متصلة.
3_1,يبقى كل كائن حتى أدركه الموت فى مكانه دون تحلل و تظل عناصر الكربون و النيتروجية هذه الأجسام الميتة و لا يمكن الحصول عليها لتؤمن استمرار الحياة فى النظام الإيكولوجى و تنتشر الأمراض.
3_2,لن تتم عملية البناء الضوئى لأن الكلوروفيل يقوم بامتصاص الموجات الضوئية ، و بالتالى لن تقوم البلاستيدات الخضراء بعملية صنع الغذاء.
3_3,ينمو النبات خضريا فقط دون أن يزهر.
3_4,تلجأ الحيوانات الأولية إلى تكوين الحويصلات ،  تلجأ البكتيريا إلى تكوين الجراثيم.
3_5,تلجأ إلى عملية البيات الشتوى.
3_6,بعضها يلجأ إلى البيات الشتوى و البعض الأخر إلى الهجرة لمناطق أكثر ملائمة.
3_7,يحدث توزان طبيعى و يظل النظام الإيكولوجى فى حالة استقرار.
3_8,تزداد درجة ملوحة هذه البحار.
3_9,لن يتم تحليل أجسام الكائنات الحية إلى عناصرها البسيطة و بالتالى لن تدور هذه العناصر مع التيار و حركة الأمواج لتصل إلى المياه السطحية ولن تبنى الهائمات النباتية أجسامها فتهلك مما يؤثر على باقى حلقات السلسلة الغذائية البحرية فيحدث خلل بالنظام البيئى البحرى.
3_10,إهدار نسبة كبيرة من الطاقة تفقد خلال انتقالها من حلقة لأخرى.
3_11,تزداد أعداد و أحجام تلك الأشجار و الشجيرات نتيجة لإزالة الأعشاب التى تنافسها على الماء.
3_12,تدهور الغطاء النباتى و بالتالى ظهور عوامل التعرية و انجراف التربة ، مما يسبب ظاهرة الزحف الصحراوى.
3_13,يحدث اختلال لتوازن النظام البيئى نتيجة الإسراف و عدم ترشيد الاستهلاك.
4_1,لأن النظام يتكون من: عوامل غير حية تضم العوامل الفيزيائية و العوامل الكيميائية. وعوامل حية تضم الكائنات المنتجة للغذاء و الكائنات الم23ستهلكة للغذاء و الكائنات المحللة.
4_2,لأنها تحلل أجسام الكائنات الميتة و تعيد ما بها من عناصر مثل الكربون و النيتروجين و الفوسفور إلى التربة ليعاد استخدامها مما يؤمن استمرار النظام البيئى و تساعد فى عدم إنتشار الأمراض.
4_3,لتراكم المواد المحفزة للنمو (الأوكسينات) فى الجهة البعيدة عن الضوء مما يؤدى إلى استطالة خلايا الساق البعيدة عن الضوء بدرجة أكبر من الخلايا المواجهة للضوء، فيتجه الساق نحو الضوء.
4_4,لأن العوامل البيئية لا تلائم التفاعلات الداخلية اللازمة لكى يصل النبات إلى مرحلة الإزهار و بذلك يتضح أن التواقت الضوئى المناسب لزراعة النبات يعتبر عنصرا أساسيا للإزهار و الإثمار فى النبات.
4_5,لأنه ثبت أن طول فترة النهار يؤثر على نشاط الطيور الذى يؤثر بدوره فى حجم الغدد الجنسية الذى يزداد بزيادة طول فترة النهار و يقل بنقصانها.
4_6,بسبب انخفاض درجة حرارة المياه السطحية إلى 3 درجات مئوية فيتمدد الماء و تقل كثافته و يطفو إلى السطح ثم يتجمد مما يحافظ على الأحياء المائية أسفله من التجمد.
4_7,لأن هذا التعقيد هو أحد العوامل الأساسية فى سلامة كل نظام بيئى إذ أنه يحد من أثر التغيرات الإيكولوجية.
4_8,أى نظام بيئى معقد التراكيب نظرا لما يحتويه من عوامل فيزيائية و كيميائية و كائنات حية متنوعة، و علاقات متبادلة و متشابكة بين هذه الكائنات الحية من جهة و بين العوامل غير الحية من جهة أخرى، و معنى ذلك وجود شبكة من العلاقات الغذائية داخل النظام البيئى.
4_9,لأنه مثلا فى النظام البيئى البحرى نجد أن: الفضلات العضوية التى تخرجها الأسماك تتغذى عليها الطحالب التى تتغذى عليها الأسماك و هكذا لا تبقى هذه الفضلات فى ماء البحر فيظل الماء محتفظا بخواصه، غاز ثانى أكسيد الكربون الناتج من تنفس الكائنات البحرية تستخدمه النباتات البحرية فى عملية البناء الضوئى و ينتج غاز الأكسجين اللازم لعملية التنفس وهكذا تظل نسبة الغازين ثابتة فى الماء.
4_10,نظرا لاتصال مياه البحار و المحيطات ببعضها البعض لذلك فهى ثابتة نسبيا عن البيئات الأرضية التى تتفاوت فى ظروفها الفيزيائية و الكيميائية و البيولوجية نظرا لانفصالها فى شكل قارات و جزر متباعدة.
4_11,لأن البحر الأحمر تزيد فيه نسبة البخر، و تنقص الأمطار أو مصبات الأنهار، بينما فى بحر البلطيق ينقص البخر و تزداد السيول أو مصبات الأنهار.
4_12,لأن مياه البحر تمتص كمية كبيرة من حرارة الشمس نهارا و تخزنها ثم تسربها ليلا إلى الفضاء و اليابسة المحيطة مما يوفر الدفء و الاستقرار الحرارى للمناطق الساحلية على عكس المناطق القارية البعيدة عن البحار التى تتقلب فيها درجة الحرارة ليلا و نهارا و فى الفصول المختلفة.
4_13,لتوافر الإضاءة الكافية فوق هذا العمق حيث يستطيع الضوء النفاذ حتى عمق 200 م مما يسمح للنباتات بالقيام بعملية البناء الضوئى
4_14,لأن ضغط عمود الماء يتزايد بمعدل واحد ضغط جوى لكل عشرة أمتار تحت سطح الماء بالإضافة إلى الضغط الجوى على سطح البحر، فإذا أراد الإنسان أن يغوص إلى عمق 100 متر فإنه سيتحمل ضغط قدره 11 ضغط جوى و يتعذر ذلك بدون جهاز الغطس المخصص لذلك.
4_15,لأن توافر العناصر المعدنية (أملاح الفوسفات و النترات ) فى المياه السطحية يساعد فى تكوين البروتين فى خلايا النباتات البحرية، و يعمل على نموها و تكاثرها و بالتالى زيادة الحيوانات التى تتغذى عليها فتكثر الأسماك تبعا لذلك.
4_16,لأن الهائمات (البلانكتون) نوعان: هائمات نباتية و هى كائنات منتجة تقوم بعملية البناء الضوئى لاحتوائها على مادة الكلوروفيل ، هائمات حيوانية و هى كائنات مستهلكة تتغذى على الهائمات النباتية.
4_17,نظرا لأن معظم السلاسل من آكلات اللحوم ، فإن الحياة البحرية تتسم بطول سلاسل الغذاء و تعدد حلقاتها ، و حيث أنه يتناقص مستوى الطاقة من مستوى إلى آخر بمعدل يصل إلى العشر تقريبا لذلك يتم إهدار نسبة كبيرة من الطاقة فى سلاسل الغذاء البحرية.
4_18,بسبب تباين الظروف الطبيعية كالمناخ و طبيعة التربة والغطاء النباتى.
4_19,لأنها تظهر فى الشتاء فقط عقب سقوط الأمطار، و تذبل بحلول الجفاف فى الصيف، و تتلاشى بعد ترك بذورها فى التربة.
4_20,تمتد جذور النباتات الصحراوية رأسيا إلى أعماق التربة لامتصاص الماء الجوفى العميق أو أفقيا تحت سطح التربة لامتصاص قطرات الندى المتساقطة صباحا على سطح التربة.
4_21,لأنها تستخلص الماء من البذور و النباتات العصارية التى تتغذى عليها.
4_22,لأنه قد يفيد فى خفض نسبة النتح و البخر بإزالة أجزاء من المجموع الخضرى.
4_23,لزيادة نمو السكان و الرعى الجائر لحيواناتهم مما أدى إلى تآكل التربة بمعدل يصل إلى 700 طن / كم مربع / سنة.
4_24,لأن البيئة المصنوعة قد تسئ للبيئة الطبيعية عندما يسمح الإنسان لمخلفات الصناعة بتلويث البيئة ، أو عندما يتخذ قرارا باستخدام مبيد ما دون دراسة كافية لاثاره السلبية.
