idx_quest_ref,rater1,rater2,stu_answer
1_1,4,4,"الدراسة التى تتناول مكونات البيئة و استخدام الإنسان لها.
"
1_1,3,3,"هو العلم الذى يتناول كل ما له علاقة بالأرض من حيث مكوناتها وحركتها و تاريخها و الظواهر التى تحدث عليها.
"
1_1,4,3,"تعنى علم دراسة مكان المعيشة أو يقصد بها العلاقات المتبادلة بين الاحياء و البيئة.
"
1_1,3,3,"هو علم توزيع الكائنات الحية على الأرض و تأثرها على البيئة.
"
1_1,5,5,"الدراسة التى تتناول جوانب الطبيعة و كيفية استخدام الكائنات الحية لها.
"
1_1,5,5,"الدراسة التى تهتم بالبيئة من حيث مكوناتها و كيفية استخدام الكائنات الحية لهذه المكونات.
"
1_1,5,5,"الدراسة التى تعرض جوانب الطبيعة بما يحدده الكائن الحى و كيفية استخدامه لمكونات البيئة.
"
1_1,3,2,"الدراسة التى تتناول مكونات البيئة و الكائنات الحية.
"
1_1,2,2,"هى الدراسة التى تهتم بكل ما يحيط بالكائن الحى.
"
1_1,3,3,"هو العلم الذى يهتم بالبيئة و الكائنات الحية و الغير حية.
"
1_2,3,3,"كلمة تعنى الحيز أو النطاق الذى يعيش فيه الكائن الحى و بالطبع فهو متكيف مع البيئة.
"
1_2,4,4,"الحيز أو الوسط الذى يحيا به الكائن الحى و يؤثر فيه و يتأثر به.
"
1_2,4,4,"الإطار الذى يحيط بالكائن الحى و يؤثر فيه و يتأثر به.
"
1_2,4,4,"ما يحيط بالإنسان من مكونات يؤثر فيها و يتأثر بها.
"
1_2,5,5,"كل ما يحيط بالإنسان من مكونات حية أو غير حية يؤثر فيها و يتأثر بها.
"
1_2,3,2,"الوسط الذى يحيط بالإنسان و يتأثر به.
"
1_2,4,4,"الإطار الذى يحيط بالإنسان من مكونات يؤثر فيها و يتأثر بها.
"
1_2,3,2,"الحيز الذى يعيش فيه الإنسان ليتكيف مع البيئة.
"
1_2,4,4,"كل شئ يحيط بالإنسان و يتأثر به و يؤثر عليه.
"
1_2,5,4,"	الوسط الذى يحيط بالإنسان من مكونات حية و غير حية وكيفية التعامل معها.
"
1_3,5,5,"الإطار الذى يحيا فيه الإنسان مع غيره من الكائنات الحية و يحصل منها على مقومات حياته.
"
1_3,5,5,"هى الإطار الذى يحيا فيه مع غيره من الكائنات الحية و يحصل منها على مقومات حياته.
"
1_3,5,5,"هى الإطار الذى يحيا فيه الإنسان مع غيره من الكائنات الحية و يحصل منها على مقومات حياته.
"
1_3,5,5,"الحيز الذى يحيط بالإنسان مع الكائنات الحية الأخرى ليحصل على مقومات الحياة.
"
1_3,5,4,"الحيز الذى يحيط بالإنسان مع الكائنات الحية الأخرى الذى يستفيد منها للقدرة على العيش.
"
1_3,1,1,"كل ما يحيط بالإنسان من مكونات حية أو غير حية يؤثر فيها و يتأثر بها.
"
1_3,4,4,"كل ما يحيط بالإنسان من مكونات حية يحصل بها على ما يريده لمقومات الحياة.
"
1_3,5,5,"الإطار الذى يحيا فيه الإنسان مع سائر الكائنات الحية ليحصل على مقومات الحياة.
"
1_3,2,3,"الإطار الذى يشترك فيه الإنسان مع الكائنات الحية الأخرى.
"
1_3,1,1,"الإطار الذى يحيط بالكائنات الحية للتمكن من الحصول على مقومات الحياة.
"
1_4,5,5,"البيئة التى يشترك فيها الإنسان مع سائر الكائنات الحية.
"
1_4,5,5,"البيئة التى يشترك فيها الإنسان مع جميع الكائنات الحية.
"
1_4,2,2,"البيئة التى تشترك فيها جميع الكائنات الحية.
"
1_4,3,3,"هى مشاركة باقى الكائنات الحية للإنسان.
"
1_4,0,0,"كل محتويات الطبيعة من اليابس و النظام البحرى.
"
1_4,0,0,"كل محتويات الطبيعة من تضاريس و بحار و نباتات
"
1_4,4,3,"مشاركة الإنسان مع جميع الكائنات الحية.
"
1_4,5,5,"البيئة التى تهتم بمشاركة الإنسان مع الكائنات الحية.
"
1_4,0,1,"كل ما يحيط بالإنسان من بحار و محيطات و أشجار و تضاريس.
"
1_4,3,2,"البيئة التى يشترك فيها الإنسان مع الكائنات الحية و الغير حية.
"
1_5,5,5,"البيئة التى يشترك فيها الإنسان مع باقى البشر.
"
1_5,5,5,"البيئة التى يشترك فيها الإنسان مع غيره من بنى البشر.
"
1_5,0,0,"البيئة التى يشترك فيها الإنسان مع سائر الكائنات الحية.
"
1_5,0,0,"البيئة التى تعرض التفاعلات الإجتماعية المختلفة للكائنات الحية.
"
1_5,0,0,"البيئة التى تصف جميع التفاعلات الإجتماعية بين جميع الكائنات الحية
"
1_5,0,0,"البيئة التى يشترك فيها الإنسان مع سائر الكائنات الحية.
"
1_5,3,4,"البيئة التى تصف أوجه التعاون والتفاعل بين الجميع من بنى البشر.
"
1_5,5,5,"البيئة التى تصف مشاركة الإنسان مع غيره من بنى البشر.
"
1_5,0,0,"البيئة التى يشترك فيها الإنسان مع جميع الكائنات الحية.
"
1_5,3,3,"البيئة التى تهتم بالجوانب الإجتماعية بين البشر.
"
1_6,1,1,"هى البيئة التى تصنعها التكنولوجيا.
"
1_6,0,0,"هى البيئة التى تصف دور التكنولوجيا و تأثيرها على الكائنات الحية.
"
1_6,5,5,"هى البيئة التى صنعها الإنسان بعلمه و تقدمه.
"
1_6,5,5,"هى البيئة التى يصنعها الإنسان نتيجة التقدم و التطور التكنولوجى.
"
1_6,1,2,"هى البيئة  التى تضم كل الإختراعات الحديثة للإنسان.
"
1_6,4,4,"هى البيئة التى يصنعها الإنسان نتيجة التقدم العلمى.
"
1_6,1,0,"البيئة التى توضح تأثير التكنولوجيا على حياة الإنسان.
"
1_6,0,0,"كل ما يحيط بالإنسان من عوامل مستحدثة تؤثر فيه و يؤثر عليها.
"
1_6,5,5,"البيئة التى يصنعها الإنسان بعلمه و تقدمه.
"
1_6,0,1,"العوامل الحديثة التى تطرأ على الحيز الذى يعيش فيه الإنسان
"
1_7,5,5,"هو علم دراسة التفاعل بين الحياة و مكونات البيئة مع تطبيق المجالات المعرفية (الفيزيائية – الكيمائية - البيولوجية) بغرض حسن البيئة و الإستفادة بها دون إهدار أو تلويث بفعل الطبيعة أو الإنسان الغير سوى.
"
1_7,1,1,"هو العلم الذى يتناول دراسة العلاقات المتبادلة بين الكائنات الحية.
"
1_7,5,5,"هو علم دراسة التفاعل بين الحياة و مكونات البيئة مع تطبيق المجالات المعرفية (فيزيائية – كيميائية - بيولوجية) بغرض حسن البيئة و الإستفادة بها دون إهدار أو تلويث بفعل الطبيعة أو الإنسان الغير سوى.
"
1_7,1,1,"العلم الذى يعنى بدراسة التفاعل بين الحياة و مكونات البيئة.
"
1_7,1,1,"العلم الذى يهتم بالعلاقات المتبادلة بين الأحياء و البيئة.
"
1_7,3,2,"علم دراسة التفاعل بين الحياة و مكونات البيئة بغرض المحافظة على البيئة.
"
1_7,3,2,"العلم الذى يهتم بدراسة التفاعلات بين الإنسان و مكونات البيئة المختلفة للحفاظ على البيئة.
"
1_7,4,3,"هو العلم الذى يدرس التفاعل بين الحياة و مكونات البيئة من حيث تطبيق المعلومات فى المجالات المعرفية و المحافظة على البيئة.
"
1_7,3,3,"هو العلم الذى يدرس التفاعل بين الحياة و المكونات المختلفة للبيئة ووقايتها من الأثار التى تؤثر عليها.
"
1_7,3,2,"هو علم دراسة التفاعل بين الحياة و مكونات البيئة المختلفة للإستفادة بها و عدم تلوثها.
"
1_8,2,2,"هو حيز الحياة على سطح الأرض.
"
1_8,4,3,"هو المسافة بين أكبر ارتفاع فى الجبال و أقصى عمق فى البحار توجد بينها حياة.
"
1_8,4,4,"الحيز الذى توجد به الحياة وهو يمتد من أكبر عمق توجد به الحياة فى البحار إلى أقصى إرتفاع توجد عليه الحياة فى الجبال.
"
1_8,4,4,"الحيز الذى توجد به الحياة وهو يمتد من أكبر عمق توجد به الحياة فى البحار إلى أقصى إرتفاع توجد عليه الحياة فى الجبال.
"
1_8,5,5,"الحيز الذى توجد به الحياة وهو يمتد من أكبر عمق توجد به الحياة فى البحار إلى أقصى إرتفاع توجد عليه الحياة فى الجبال ولا يزيد أقصى سمك له 14 كم.
"
1_8,5,5,"الحيز الذى توجد به الحياة وهو يمتد من أكبر عمق توجد به الحياة فى البحار إلى أقصى إرتفاع توجد عليه الحياة فى الجبال ولا يزيد أقصى سمك له 14 كم.
"
1_8,5,5,"هو الحيز الذى توجد به الحياة على سطح الأرض من قيعان المحيطات حتى أسطح الجبال ويقدر سمكه 14 كم.
"
1_8,3,2,"هو الحيز الذى يوجد به حياة على سطح الأرض و فى البحار و المحيطات .
"
1_8,3,2,"هو الحيز الذى يوجد به حياة على سطح الأرض و فى البحار و المحيطات.
"
1_8,4,4,"الحيز الذى توجد به الحياة و هو يمتد من أكبر عمق فى البحار إلى أقصى ارتفاع فى الجبال.
"
1_9,5,5,"	يصف كل مل يتعلق بالكائنات الحية و المكونات الغير حية فى حيز محدود من الطبيعة وما بينها من تفاعلات متبادلة مثل الغابة و الصحراء و الواحة و الانهار و البحار.
"
1_9,5,4,"هى مجموعة من التفاعلات و التبادلات بين مكونات حية و غير حية فى حيز محدود من الطبيعة مثل الغابة و الصحراء.
"
1_9,5,5,"هو مجموعة من التفاعلات و التبادلات بين مكونات حية و غير حية فى حيز محدود من الطبيعة مثل الغابة – الصحراء – النهر – البحر – الواحة.
"
1_9,2,2,"هو نظام يصف كل ما يحيط بالإنسان من مكونات حية و غير حية.
"
1_9,5,5,"نظام يصف كل ما يتعلق بالكائنات الحية و المكونات غير الحية من تفاعلات و تبادلات فى حيز محدود من الطبيعة مثل ( الغابة – الصحراء – النهر – البحر - الواحة ).
"
1_9,3,2,"نظام يصف كل ما يتعلق بالكائنات الحية و الغير حية.
"
1_9,3,3,"نظام يصف كل ما يتعلق بالكائنات الحية و الغير حية و دراسة ما بها من تفاعلات و تبادلات.
"
1_9,1,1,"نظام يصف مجموعة تفاعلات بين الكائنات الحية.
"
1_9,2,2,"نظام يصف التفاعل بين الحياة و مكونات البيئة.
"
1_9,5,5,"هو مجموعة من التفاعلات و التبادلات بين مكونات حية و غير حية فى حيز محدود من الطبيعة مثل الغابة – الصحراء – النهر – البحر – الواحة.
"
1_10,5,5,"منظومة إيكولوجية معقدة من عمليات متشابكة و مترابطة تتميز بالعديد من المسارات التى تؤدى إلى تغير معدلات نمو الجماعات الحية و تصل بها إلى حالة مستقرة من التوازن فى إطار النظام ككل.
"
1_10,5,5,"منظومة إيكولوجية معقدة من عمليات متشابكة و مترابطة تتميز بالعديد من المسارات التى تؤدى إلى تغير معدلات نمو الجماعات الحية و تصل بها إلى حالة مستقرة من التوازن فى إطار النظام ككل.
"
1_10,5,5,"هو نظام معقد من عمليات متشابكة و مترابطة و تتميز بالعديد من المسارات التى تؤدى إلى تغير معدلات نمو الجماعات الحية و تصل بها إلى حالة مستقرة من التوازن فى إطار النظام.
"
1_10,5,5,"هو نظام معقد من عمليات متشابكة و مترابطة و تتميز بالعديد من المسارات التى تؤدى إلى تغير معدلات نمو الجماعات الحية و تصل بها إلى حالة مستقرة .
"
1_10,0,0,"يصف كل مل يتعلق بالكائنات الحية و المكونات الغير حية فى حيز محدود من الطبيعة وما بينها من تفاعلات متبادلة مثل الغابة و الصحراء و الواحة و الانهار و البحار.
"
1_10,0,0,"نظام يصف كل ما يتعلق بالطاقة و مدى تأثرها على البيئة.
"
1_10,0,0,"يصف كل ما يتعلق بالكائنات الحية و المكونات الغير حية و مدى تأثير الطاقة عليها.
"
1_10,3,3,"نظام يصف العمليات المتشابكة و المترابطة التى ئؤدى إلى حالة مستقرة من التوازن للنظام.
"
1_10,3,2,"نظام يصف العمليات المتشابكة و المترابطة التى تؤدى إلى تغير معدلات نمو الجماعات الحية.
"
1_10,0,0,"نظام يصف تأثير على الطاقة على الكائنات الحية.
"
1_11,4,4,"هى كائنات حية ذاتية التغذية تستطيع تكوين غذائها بنفسها عن طريق عملية البناء الضوئى.
"
1_11,5,5,"هى كائنات تستطيع تكوين غذائها بنفسها بعملية البناء الضوئى لوجود مادة الكلوروفيل التى تحول الطاقة الضوئية إلى طاقة كيميائية.
"
1_11,5,5,"هى كائنات حية ذاتية التغذية تستطيع تكوين غذائها بنفسها بعملية البناء الضوئى (تحويل الطاقة الضوئية إلى طاقة كيميائية) لوجود الكلوروفيل و هى تمثل قاعدة الغذاء و الحلقة الأولى فى أى سلسلة غذائية فى أى نظام إيكولوجى مثل النباتات و البلانكتون و الحشائش و الأشجار.
"
1_11,4,3,"الكائنات التى تتنتج الغذاء عن طريق عملية البناء الضوئى.
"
1_11,4,3,"الكائنات التى تتنتج الغذاء عن طريق عملية البناء الضوئى لوجود الكلوروفيل بها.
"
1_11,5,5,"هى كائنات حية ذاتية التغذية تستطيع تكوين غذائها بنفسها عن تحويل الطاقة الشمسية إلى كيميائية (عملية البناء الضوئى).
"
1_11,2,2,"هى كائنات حية ذاتية التغذية تستطيع تكوين غذائها بنفسها لباقى الكائنات الأخرى.
"
1_11,2,2,"هى كائنات حية تتنتج غذائها بنفسها و تكون حلقات الغذاء للكائنات الأخرى.
"
1_11,5,5,"هى كائنات تستطيع تكوين غذائها بنفسها بعملية البناء الضوئى لوجود مادة الكلوروفيل التى تحول الطاقة الضوئية إلى طاقة كيميائية.
"
1_11,2,2,"الكائنات التى تنتج الغذاء لغيرها من الكائنات الأخرى.
"
1_12,5,5,"هى كائنات غير ذاتية التغذية تعتمد على غيرها فى الحصول على غذائها لعدم وجود الكلوروفيل مثل آكل العشب و آكل اللحم.
"
1_12,4,4,"هى كائنات لا تستطيع تكوين غذائها بنفسها لعدم وجود الكلوروفيل بها.
"
1_12,4,5,"هى كائنات غير ذاتية التغذية تعتمد على غيرها فى الحصول على غذائها لعدم وجود الكلوروفيل.
"
1_12,3,3,"هى الكائنات التى تعتمد على غيرها للحصول على الغذاء.
"
1_12,3,3,"هى الكائنات التى تعتمد على غيرها لتحصل على غذائها.
"
1_12,5,5,"هى كائنات تعتمد على غيرها (النباتات) للحصول على الغذاء مثل آكلات العشب و اللحوم.
"
1_12,4,4,"الكائنات التى لا تعتمد على نفسها فى تكوين الغذاء و تحصل عليه من النباتات الخضراء.
"
1_12,3,3,"كائنات لا تنتج الغذاء نتيجة عدم وجود الكلوروفيل بها.
"
1_12,4,3,"كائنات تستهلك الغذاء من غيرها مثل آكلة العشب و آكلة اللحوم.
"
1_12,4,4,"كائنات غير ذاتية التغذية لعدم وجود الكلوروفيل بها و تعتمد على الكائنات المنتجة للحصول على غذائها.
"
1_13,5,5,"هى كائنات دقيقة مجهرية غير ذاتية التغذية و مترممة تتغذى على أجسام النباتات و الحيوانات الميتة و تحللها.
"
1_13,5,5,"هى كائنات مجهرية مترممة و غير ذاتية التغذية و تتغذى على أجسام الحيوانات و النباتات الميتة.
"
1_13,5,5,"هى كائنات دقيقة مجهرية غير ذاتية التغذية و مترممة تتغذى على أجسام النباتات و الحيوانات الميتة و تحللها و يطلق عليها حراس الطبيعة.
"
1_13,2,2,"كائنات تتغذى على أجسام الحيوانات الميتة .
"
1_13,5,4,"هى كائنات غير ذاتية التغذية تتغذى على النباتات و الحيوانات الميتة لتحللها و من أمثلتها البكتريا و الفطريات.
"
1_13,3,3,"هى كائنات مجهرية دقيقة تتغذى على الكائنات الميتة.
"
1_13,2,2," هى الكائنات التى تتغذى على أجسام الحيوانات و النباتات الميتة.
"
1_13,4,3,"هى كائنات دقيقة مجهرية و مترممة تحلل الكائنات الميتة مثل البكتريا.
"
1_13,2,2,"الكائنات التى تحلل أجسام الحيوانات الميتة.
"
1_13,3,3,"الكائنات التى تتغذى على الحيوانات الميتة لتحللها و تحرص الطبيعة من أضراراها.
"
1_14,5,5,"	هو حركة موضعية تؤدى لانتقال النبات لإتجاه معين نتيجة لمؤثر خارجى كالضوء.
"
1_14,4,5,"هو انحناء النبات نتيجة التعرض للضوء.
"
1_14,5,5,"هو انحناء ساق النباتات نتيجة التعرض للضوء.
"
1_14,0,0,"هى عملية تصاحب عملية البناء الضوئى للنباتات.
"
1_14,0,0,"هى العملية التى تسبق عملية البناء الضوئى.
"
1_14,4,4,"هو نمو النباتات فى اتجاهات معينة لاختلاف تركيز الضوء عليها.
"
1_14,5,4,"الحركة الموقعية للنبات نتيجة للنمو فى إتجاه يحدده موقع المؤثر من النبات كالضوء.
"
1_14,4,4,"هو نمو النباتات فى اتجاه معين على حسب شدة الضوء.
"
1_14,0,0,"هى العملية المسئولة عن إمداد النبات بالمياه الكافية.
"
1_14,5,5,"الحركة الموقعية للنبات نتيجة للنمو فى إتجاه يحدده موقع المؤثر من النبات كالضوء.
"
1_15,5,5,"العلاقة بين فترة الإضاءة و الإظلام التى يتعرض لها النبات بالتعاقب خلال 24 سنة.
"
1_15,5,5,"هى العلاقة بين فترة الإضاءة و الظلام التى يتعرض لها النبات خلال 24 ساعة بالتعاقب.
"
1_15,4,4,"هى العلاقة بين فترة الإضاءة و الظلام التى يتعرض لها النبات خلال 24ساعة.
"
1_15,5,5,"العلاقة بين فترة الإضاءة التى يحصل عليها النبات و فترة الإظلام التى يتعرض لها بالتعاقب كل 24 ساعة.
"
1_15,0,0,"هى العلاقة بين شدة الضوء و نمو النبات.
"
1_15,0,0,"تحكم شدة و اتجاه الضوء فى نمو النباتات.
"
1_15,3,2,"هى الفرق بين فترة الإضاءة و فترة الظلام التى يتعرض له النبات كل يوم.
"
1_15,3,2,"العلاقة بين الإضاءة و الظلام التى يتعرض لها النبات.
"
1_15,3,2,"العلاقة بين فترة الإضاءة و قترة الظلام التى يتعرض لها النبات.
"
1_15,5,5,"هى العلاقة بين فترة الإضاءة و فترة الظلام التى تتعرض له النباتات بالتعاقب كل 24 ساعة.
"
1_16,5,5,"هى ظاهرة حيوية ذات طبيعة دورية (فسيولوجية و غريزية)  تتم بإنتقال جماعة معينة من الحيوانات خلال أوقات أو مواسم معينة.
"
1_16,5,5,"هى ظاهرة حيوية ذات طبيعة دورية تتم بإنتقال جماعة معينة من الحيوانات فى أوقات أو مواسم معينة.
"
1_16,5,5,"ظاهرة حيوية ذات طبيعة دورية ، وهى تحدث بفعل عوامل فسيولوجية داخلية و كذلك المكان و البيئة و المواسم و المرحلة التى يمر بها الكائن الحى.
"
1_16,3,2,"إنتقال الكائن الحى من مكان إلى أخر نتيجة الظروف المناخية.
"
1_16,2,2,"إنتقال الحيوانات كل عام من مكان إلى أخر ليتكيف معه.
"
1_16,2,2,"إنتقال جماعة معينة من الحيوانات من مكان إلى أخر.
"
1_16,3,3,"ظاهرة طبيعية تحدث للحيوانات حيث تنتقل من مكان إلى أخر للتكيف مع البيئة.
"
1_16,3,4,"ظاهرة حيوية تحدث كل عام للحيوانات التى تنتقل من مكان إلى أخر.
"
1_16,5,5,"ظاهرة حيوية ذات طبيعة دورية تتم عند إنتقال الحيوانات خلال أوقات معينة فى العام من مكان إلى أخر.
"
1_16,5,5,"ظاهرة حيوية ذات طبيعة دورية تتم بإنتقال جماعة معينة من الحيوانات خلال أوقات أو مواسم معينة من مكان إلى أخر.
"
1_17,5,5,"هو قدرته على العودة لوضعه الأول بعد أى تغير يطرأ عليه دون حدوث تغيير أساسى فى تكوينه.
"
1_17,5,5,"هو قدرة النظام على العودة لوضعه الأول بعد أى تغير يطرأ عليه دون حدوث تغير أساسى فى تكوينه.
"
1_17,5,5,"قدرة النظام البيئى على العودة لوضعه الأصى بعد التغيرات التى تحدث له.
"
1_17,0,0,"عدم تعرض البيئة لإى كوارث مثل الزلازل و البراكين.
"
1_17,1,0,"ثبات النظام البيئى عند حدوث كوارث طبيعية التى تأثر على التربة.
"
1_17,4,3,"هو قدرة النظام البيئى على العودة للوضع المثالى بعد أى تغيرات تحدث عليه.
"
1_17,5,5,"قدرة النظام البيئى على العودة إلى وضعه الأول بعد أى تغير يطرأ عليه دون حدوث أى تغير أساسى فى تكوينه.
"
1_17,5,5,"قدرة النظام البيئى على العودة إلى وضعه الأول بعد أى تغير يطرأ عليه دون حدوث أى تغير أساسى فى تكوينه.
"
1_17,4,4,"الرجوع إلى الوضع الأصلى للنظام البيئى بعد التغيرات التى تحدث له.
"
1_17,3,3,"استمرار النظام على وضعه الطبيعى رغم التغيرات التى تحدث له.
"
1_18,5,5,"هى كائنات دقيقة مجهرية نباتية أو حيوانية تعيش فى المياه السطحية للبحار تحملها الأمواج بلا مقاومة.
"
1_18,5,5,"تنتشر فى الطبقة السطحية للنظام البحرى و على إمتداد المنطقة المضيئة من عمود الماء و هى كائنات دقيقة الحجم و تنقسم إلى مجموعتين هائمات نباتية و حيوانية.
"
1_18,4,4,"هى كائنات تعيش فى البحار و المحيطات تحملها الأمواج بلا مقاومة نظرا لحجمها المتناهى الصغر.
"
1_18,4,3,"كائنات دقيقة تعيش فى المياة السطحية للبحار.
"
1_18,0,0,"سيقان النباتات التى تتعلق فى إتجاه معين نتيجة شدة الضوء.
"
1_18,1,0,"مجموعة من الكائنات الحية التى تعيش فى المسطحات المائية.
"
1_18,5,5,"كائنات نباتية أو حيوانية مجهرية تحملها الأمواج بلا مقاومة لصغر حجمها.
"
1_18,3,2,"كائنات تتعلق بالأمواج فى البحار و المحيطات.
"
1_18,4,3,"كائنات تنتشر فى الطبقة السطحية فى البحار و تحملها الأمواج دون مقاومة.
"
1_18,4,4,"كائنات نباتية و حيوانية صعيرة الحجم تعيش فى المسطحات المائية المختلفة.
"
2_1,5,5,"خصائص النظام البيئى هى تعدد المكونات الحية و الغير حية ، تشابك العلاقت ، الإستقرار مع القابلية للتغير، إستخدام الفضلات كما يحدث فى النظام المائى.
"
2_1,5,5,"تعدد المكونات – تشابك العلاقات – الإستقرار مع القابلية للتغير – إستخدام فضلاته.
"
2_1,2,1,"يتمز النظام البيئى بتعدد مكوناته الحية (منتجة – مستهلكة - محللة) و غير الحية (فيزيائية - كيميائية) .
"
2_1,4,3,"الخصائص هى تشابك العلاقات و تعدد المكونات و إستخدام الفضلات.
"
2_1,3,3,"تعدد المكونات و تشابك العلاقات و التعقيدات المختلفة التى تحمى النظام.
"
2_1,3,3,"تعدد مكونات النظام البيئى و إستخدام الفضلات و التعقيدات المختلفة التى يتميز بها.
"
2_1,0,0,"يتميز النظام البيئى بأنه منظومة متكاملة تتكيف فيه كل الكائنات الحية.
"
2_1,3,3,"أهم خصائص النظام البيئى هو الإستقرار رغم كل التغيرات التى تطرأ عليه، و يتميز أيضا بالتعقيدات المختلفة التى تحميه.
"
2_1,1,1,"النظام البيئى منظومة متكاملة تتعايش فيه كل الكائنات الحية و الغير حية و تتكيف مع بعضها.
"
2_1,3,2,"تعدد المكونات و تشابك العلاقات بين الكائنات المختلفة.
"
2_2,5,4,"يتغلل الضوء فى الماء تبعا لأطوال موجاته حيث يحدد العمق الذى يصل إليه الضوء نوعية الكائنات التى تعيش فيها، عند سقوط الضوء على سطح الماء ينعكس جزء منه و يمتص جزء أخر و يبقى الجزء المتبقى حسب طول الموجة.و يلعب الضوء دور هام فى عملية البناء الضوئى للنباتات التى تعيش فى البحار.
"
2_2,4,3,"تعتمد شدة الإستضاءة فى البحار على كمية الضوء النافذ خلال ماء البحر حيث ينعكس جزء منه على سطح الماء و يمتص جزء أخر و ينفذ الجزء المتبقى إلى عمق معين و يتوقف العمق الذى يصل إليه الضوء النافذ على طولة موجة الضوء.
"
2_2,2,2,"يتأثر النظام البحرى على حسب طول الموجة ووصلها إلى الأعماق و يلعب الضوء دورا هاما فى عملية البناء الضوئى للنباتات فى المياه.
"
2_2,3,3,"تتحكم طول الموجة فى العمق الذى يصل اليه الضوء و تقل نسبة الاستضاءة بعد عمق 500 متر و يتحكم الضوء فى توزيع الكائنات الحية التى تتغذى على النباتات التى تقوم بعملية البناء الضوئى.
"
2_2,4,4,"تعتمد شدة الإستضاءة فى البحار على كمية الضوء النافذة خلال ماء البحر و الذى ينعكس جزء منه و يمتص جزء أخر و ينفذ جزء إلى المياه العميقة، فتتمتص المياه العليا الموجات الطويلة (الأشعة الحمراء) و تمتص المياه الأكثر عمقا الموجات القصيرة ( الأشعة الزرقاء و البنفسجية ) و يرجع ذلك لزرقة مياه البحر، حيث تكون جيدة الاستضاءة حتى 200 متر عمق و تقل تدريجيا حتى تنعدم تماما بعد عمق 500 متر عمق.
"
