idx_quest_ref,rater1,rater2,stu_answer
2_2,1,1,"تتنوع الكائنات الحية التى تعتمد على النبات فى غذائها حيث تقوم النباتات بعملية البناء الضوئى و تختفى فى المناطق المظلمة التى لا يصل إليها الضوء.
"
2_2,4,3,"تعتمد شدة الإستضاءة فى البحار على كمية الضوء الواصل إلى الأعماق ، و يتوقف هذا العمق على طول الموجة مثل الأشعة الحمراء طويلة الموجة، و يبدأ الظلام بعد عمق 500 متر حيث لا تعيش الكائنات الحية التى تتغذى على النبات الذى يحتاج عملية البناء الضوئى.
"
2_2,1,1,"شدة الإستضاءة تؤثر على توزيع و نمو و معيشة الكائنات الحية كما يؤثر على عملية البناء الضوئى.
"
2_2,1,1,"يقل الضوء تدريجيا عند الأعماق السفلى و بذلك لا تعيش الكائنات الحية فى الظلام.
"
2_2,1,1,"تلعب شدة الضوء التحكم فى عملية البناء الضوئى للنباتات المائية التى تتغذى عليها الكائنات الأخرى فلولا الضوء لم تكن هناك حياة فى الأعماق البعيدة.
"
2_3,4,5,"المغذيات هى أملاح الفوسفات والنترات التى تتوفر فى المياه السطحية مما يساعد النبات و الطحالب على تكوين بروتين الخلايا مما يعمل على نمو النباتات و تكاثرها.
"
2_3,3,3,"يساعد النبات و الطحالب على تكوين بروتين الخلايا مما يعمل على نمو النباتات و تكاثرها .
"
2_3,4,3,"إزدهار الحياة النباتية ووفرة الهائمات النباتية و الحيوانية التى تعتبر غذاء عام للأسماك.
"
2_3,4,5,"تتوافر فى المياه السطحية أملاح الفوسفات و النترات التى تكون البوتين فى النباتات لتتكون سلاسل الغذاء و تؤثر حركة المياه على ازدهار الحياة لجميع الكائنات.
"
2_3,3,3,"تتوافر المغذيات فى البحار حيث توجد النباتات و الطحالب و الاسماك.
"
2_3,4,4,"تساعد الاملاح و النترات على تكوين البروتين فى خلايا النباتات البحرية، و تكون سلاسل غذائية تتنوع حسب عمق و حركة المياه.
"
2_3,1,1,"تؤثر وفرة المغذيات فى النظام البحرى على تكيف جميع الكائنات الحية مثل النباتات و الاسماك مع النظام البحرى.
"
2_3,3,3,"ازدهار النبات ووفرة العوالق النباتية و الحيوانية التى تكون الغذاء لللأسماك.
"
2_3,2,2,"تؤدى وفرة المغذيات إلى تكويت البروتين الهام جدا فى تكوين النباتات التى تعتبر غذاء للأسماك.
"
2_3,0,0,"تؤدى إلى استقرار النظام البحرى رغم ما يحدث فيه من تغيرات.
"
2_4,5,5,"تتميز حيوانات الأعماق فى البحار بهيكل غضروفى و خصائص فسيولوجية لتتحمل الضغط المرتفع و الظلام الدامس و البرد الشديد.
"
2_4,1,1,"لأن جسم الحيوانات البحرية تكون مرنة و هيكلها من الغضروف.
"
2_4,3,3,"تتحمل ضغط الماء الزائد و البرودة الشديدة حيث تتميز بهيكلها الغضروفى.
"
2_4,5,5,"تتحمل كلا من : الضغط الزائد و البرودة الشديدة و الظلام الدامس.
"
2_4,5,5,"تتمتع بأجسام مرنة و هياكل غضروفية مما يساعدها على تحمل الضغط الزائد للمياه و البرودة الشديدة و شدة الظلام.
"
2_4,2,1,"تساعد القدرات الجسمية على تكيف الحيوانات فى الأعماق التى لا يصل إليها الضوء.
"
2_4,4,3,"تستطيع هذه الحيوانات التعامل مع شدة البرودة و شدة الظلام.
"
2_4,2,2,"تتميز هذه الحيوانات بهياكل غضروفية تساعدها على التكيف مع الأعماق الكبيرة.
"
2_4,4,4,"تتحمل الحيوانات البحرية البرودة الشديدة و الظلام نتيجة تكوين أجسامها.
"
2_4,5,5,"تتغلب على الصعاب مثل البرودة و الظلام و الضغط العالى للمياه.
"
2_5,5,5,"تتأقلم الحيوانات الصحراوية فى الظروف الصحراوية المحيطة بها فنجد أن: الحشرات و بعض الزواحف لها أغطية جافة محكمة حول أجسامها للإحتفاظ بالماء. الغزلان و الجمال تخرج كمية قليلة من البول و ليس لها غدد عرقية. اليربوع لا يقرب الماء طول حياته و يعتمد على العصارة النباتية. الثعابين و ثعلب الفنك تحصل على الماء من دم الفرائس. بعض الحيوانات لها آذان كبيرة لتجميع الموجات الصوتية من مسافات بعيدة.
"
2_5,4,5," تتغذى على النباتات العصرية  الصحراوية مثل التين الشوكى و الصبار. معظمها ينشط ليلا و فى الصباح الباكر و تختبئ نهارا فى حفر أو كهوف رطبة. من امثلتها (الخنافس – اليرابيع – الاورال الجبلية و الثعابين). بعضها يعتمد على دماء فرائسها كمصدر مائى لها (مثل الثعابين الصحراوية  - ثعالب الفنك). حيواناتها الصحراوية المفترسة قليلة للتوازن مع أعداد فرائسها غير متوافرة.
"
2_5,5,5,"تتغذى على النباتات العصرية الصحراوية مثل التين الشوكى و الصبار. لها أغطية جافة محكمة حول أجسامها للإحتفاظ بالماء كالزواحف. بعضها يعتمد على دم فرائسها كمصدر مائى لها مثل الثعابين الصحراوية و ثعالب الفنك. بعضها لا يقرب الماء طول حياته مثل اليرابيع. معظمها ينشط ليلا أو فى الصباح الباكر و تختبئ نهارا فى كهوف رطبة. يتركز بولها و شحيحة فى عرقها للإقتصاد فى الماء.
"
2_5,3,4,"تتغذى على النباتات الصحراوية مثل التين الشوكى  و الصبار. معظمها ينشط ليلا  وتختبئ نهارا فى كهوف رطبة. بعضها لا يقرب الماء مثل اليرابيع. بعضها لها آذان كبيرة و لها القدرة على تجميع الموجات الصوتية.
"
2_5,3,4,"تتمتع بأغطية جافة محكمة حول أجسامها للإحتفاظ بالماء. تعتمد على فرائسها كمصدر مائى. تنشط ليلا و تختبئ نهارا فى حفر و كهوف. يتركز بولها و يشح عرقها للإحتفاظ بالماء.
"
2_5,2,3,"لها أغطية جافة حول أجسامها للإحتفاظ بالماء و منها لا يقرب الماء مثل اليرابيع و منها من يخزن بولها للإستفادة منه.
"
2_5,2,2,"تتغذى على فرائسها و لها آذان كبيرة لتجميع الأصوات و بعضها تملك أغطية جافة حول أجسامها.
"
2_5,0,0,"تتحمل العطش و الحرارة الشديدة مثل الجمال.
"
2_5,1,0,"تتكيف مع العطش و درجات الحرارة المرتفعة .
"
2_5,3,2,"تخزن بولها و تشح عرقها للإقتصاد فى الماء – يوجد منها ما لا يقرب الماء مثل اليرابيع.
"
2_6,5,5,"يتم ذلك عبر الإكتشاف ثم الإختراع ثم تحويله إلى مورد مفيد لللإستفادة منه.
"
2_6,5,5,"يكتشف الإنسان فائدة الشئ فى الحياة ثم يخترع و سائل الحصول عليه و يطوره و يحوله إلى مورد.
"
2_6,5,5,"إكتشاف فائدة المكون ثم الحصول عليه و تطويره و تحويله إلى ثورة متصلة.
"
2_6,3,2,"البحث عن المورد ثم تطويره ليتلائم مع إحتياجات الإنسان.
"
2_6,4,4,"الإكتشاف و الإختراع و التطوير.
"
2_6,2,1,"تحديد أهمية الشئ و تحليل مكوناته و استخدامه .
"
2_6,3,2,"تحليل مكونات الأشياء و تحديد فوائد إستخدامها و كيفية تحويلها.
"
2_6,3,3,"تحليل عناصر البيئة و بيان أهميتها و تحويلها إلى منتج يستخدمه الإنسان.
"
2_6,4,4,"الإكتشاف و الإختراع و التطوير.
"
2_6,3,2,"تحديد فوائد المكونات و كيفية تصنيعها لتحويلها إلى مورد.
"
3_1,5,4,"إنتشار الأوبئة و الأمراض، تراكم الجثث الميتة، فقد التربة لعناصرها، إختلال نسبة عناصر التربة الأساسية.
"
3_1,5,5,"تبقى الكائنات الميتة دون تحليل و لا يمكن الحصول على عناصر الكربون و النيتروجين و تنتشر الأمراض و الأوبئة.
"
3_1,2,2,"إنتشار الأمراض و الأوبئة و عدم إستمرار الحياة.
"
3_1,2,3,"عدم القدرة على تحليل الاجسام الميتة و إنتشار الأمراض.
"
3_1,1,1,"إنتهاء النظام الإيكولوجى لإنتشار الأمراض.
"
3_1,3,3,"بقاء الكائنات الميتة دون تحلل مما يساعد على إنتشار الأمراض.
"
3_1,4,4,"إنتشار الأمراض و فقد التربة لعناصرها و إنتهاء النظام البيئى.
"
3_1,1,1,"إنتشار جثث الكائنات الميتة و عدم تحللها.
"
3_1,4,4,"إختفاء عناصر الكربون و النتيروجين التى تنتج من أجسام الجثث بعد تحللها و إنتشار الأمراض.
"
3_1,4,4,"تنتشر الأمراض و تختفى عناصر الكربون و النتيروجين اللازمة لإستمرار الحياة.
"
3_2,5,5,"عدم حدوث عملية البناء الضوئى.
"
3_2,5,5,"عدم حدوث عملية البناء الضوئى.
"
3_2,5,5,"عدم حدوث عملية البناء الضوئى.
"
3_2,5,5,"لن تتم عملية البناء الضوئى لأن الكلوروفيل هو المسئول عن إمتصاص الموجات الضوئية التى تحول فيما بعد لغذاء.
"
3_2,5,5,"لن تتم عملية البناء الضوئى لأن الكلوروفيل هو المسئول الأول عن حدوثها.
"
3_2,5,5,"لا تتم عملية البناء الضوئى.
"
3_2,5,5,"لا تتم عملية البناء الضوئى.
"
3_2,5,5,"الكلوروفيل هو المسئول عن إمتصاص الضوء و تحويله إلى البلاستيدات لتكوين الغذاء و إختفاءه يعنى عدم إكتمال عملية البناء الضوئى.
"
3_2,5,5,"عدم حدوث عملية البناء الضوئى لأن الكلوروفيل يلعب دورا هاما فيها.
"
3_2,5,5,"لا تحدث عملية البناء الضوئى التى تكون الغذاء للنباتات.
"
3_3,5,5,"ينمو خضريا فقط ولا يزهر ولا يثمر لعدم ملائمة العوامل الداخلية اللازمة لكى يصل النبات لمرحلة الإزهار.
"
3_3,5,5,"ينمو النبات خضريا فقط دون أن يزهر.
"
3_3,5,5,"ينمو النبات خضريا فقط دون أن يزهر.
"
3_3,5,5,"ينمو النبات خضريا فقط دون أن يزهر.
"
3_3,5,5,"لا تتم عملية الإزهار لنبات القمح.
"
3_3,5,5,"ينمو النبات خضريا فقط دون أن يزهر.
"
3_3,5,5,"لا تتم عملية الإزهار لعدم توافر العوامل اللازمة للإزهار.
"
3_3,5,5,"لا تتم عملية الإزهار و ينمو خضريا فقط.
"
3_3,5,5,"ينمو خضريا فقط و لا يزهر.
"
3_3,0,0,"يؤثر على نمو النبات و إنتاجية المحصول.
"
3_4,5,5,"تلجأ إلى فترة السكون و هو ينعدم فيها النشاط الحيوى لأجهزة الجسم بإستثناء الأجهزة الضرورية لبقاء الحيوان حيا مثل : التجرثم – التحوصل – البيات الشتوى – الخمول الصيفى.
"
3_4,5,5,"تلجأ الحيوانات الأولية إلى التحوصل و البكتريا إلى التجرثم.
"
3_4,5,5,"تقوم الحيوانات الأولية بتكوين الحويصلات و البكتريا تقوم بتكوين الجراثيم.
"
3_4,2,2,"تلجأ الحيوانات إلى عمليات البيات الشتوى و الخمول الصيفى.
"
3_4,2,2,"تلجأ الحيوانات إلى مرحلة السكون مثل عمليات البيات الشتوى و الخمول الصيفى.
"
3_4,0,0,"تتكيف مع درجة حرارة الوسط لطبيعة أجسامها.
"
3_4,5,5,"ينعدم النشاط الحيوى لأجهزة الجسم الغير ضرورية و تقوم بعمليات تكوين الحويصلات و الجرائيم.
"
3_4,0,0,"تقوم الحيوانات الأولية بالهجرة و تختفى البكتريا.
"
3_4,2,2,"تتكيف الحيوانات الأولية و البكتريا عن طريق عمليات التجرثم و التحوصل و البيات الشتوى و الخمول الصيفى.
"
3_4,1,1,"تتعطل جميع الأجهزة الغير ضرورية و تدخل فى مرحلة سكون.
"
3_5,5,5,"تلجأ إلى البيات الشتوى.
"
3_5,5,5,"تقوم بعملية البيات الشتوى.
"
3_5,5,5,"تقوم بعملية البيات الشتوى.
"
3_5,5,5,"تتجمع فى أنفاق و تقوم بالبيات الشتوى.
"
3_5,5,5,"تلجأ للبيات الشتوى.
"
3_5,5,5,"تلجأ للبيات الشتوى.
"
3_5,0,1,"تتكيف مع درجة الحرارة عن طريق طبيعة جسمها.
"
3_5,0,1,"تستخدم خواص أجسماها للتكيف مع درجات الحرارة المنخفضة.
"
3_5,1,1,"تقوم السلاحف الصحراوية إلى الهجرة.
"
3_5,1,1,"تقوم بالهجرة إلى المناطق التى يوجد بها درجات حرارة مناسبة لها.
"
3_6,3,3,"تلجأ إلى البيات الشتوى.
"
3_6,3,3,"تلجأ إلى البيات الشتوى.
"
3_6,3,3,"تلجأ إلى عملية البيات الشتوى.
"
3_6,5,5,"بعضها يلجأ للبيات الشتوى و البعض الأخر يلجأ للهجرة.
"
3_6,3,3,"تلجأ إلى فترة السكون التى تسمى البيات الشتوى.
"
3_6,5,5,"بعضها يلجأ إلى البيات الشتوى و الأخر يلجأ إلى الهجرة.
"
3_6,3,3,"تقوم بعملية البيات الشتوى.
"
3_6,2,2,"الهجرة إلى مناطق أكثر ملائمة.
"
3_6,5,5,"تقوم بالبيات الشتوى أو الهجرة لمناطق ذات درجات حرارة مناسبة.
"
3_6,0,1,"تستخدمها أجسامها الفقارية للتكيف مع البيئة
"
3_7,5,5,"يظل النظام البيئى فى حالة إستقرار.
"
3_7,5,5,"يحدث توزان طبيعى و يظل النظام البيئى فى حالة استقرار دائم.
"
3_7,5,5," يحدث توزان طبيعى و يظل النظام الإيكولوجى فى حالة استقرار.
"
3_7,0,1,"لا تحدث عمليات التكيف مع العوامل الجديدة مثل الخمول الصيفى و البيات الشتوى.
"
3_7,5,5," يتمتع النظام البيئى بحالة إستقرار دائم.
"
3_7,4,4,"يستقر النظام البيئى لعدم وجود عوامل طارئة.
"
3_7,4,3," يحدث  إتزان طبيعى للنظام البيئى.
"
3_7,4,3," تسيطر حالة من الإستقرار على جميع مكونات النظام البيئى.
"
3_7,0,1,"لا تقوم الكائنات الحية بإى عمليات خاصة للتكيف مع النظام البيئى.
"
3_7,0,1,"تمارس الكائنات الحية نشاطها بحالة عادية لعدم وجود عوامل جديدة أو طارئة.
"
3_8,5,5,"تزداد نسبة الملوحة فى البحار.
"
3_8,5,5,"تزداد نسبة الملوحة فى البحار.
"
3_8,5,5,"ترتفع درجة الملوحة فى هذه البحار.
"
3_8,0,0,"يقل منسوب هذه البحار.
"
3_8,0,0,"يقل منسوب المياه لنقص الأمطار.
"
3_8,2,3,"يقل منسوب البحار و تزداد درجة الملوحة.
"
3_8,5,5,"ترتفع نسبة الملوحة.
"
3_8,5,5,"ترتفع نسبة الملوحة نتيجة ازدباد البخر و نقص الأمطار.
"
3_8,5,5,"ترتفع نسبة ملوحة هذه البحار.
"
3_8,5,5,"تزداد درجة الملوحة.
"
3_9,2,2,"لا تتكون الهائمات.
"
3_9,4,4,"لا تتحلل أجسام الكائنات الحية و لا تتكون الهائمات مما يقلل من عدد و كمية السلالسل الغذائية.
"
3_9,2,1,"لا تتحل الكائنات إلى عناصرها التى تساعد فى تكوين هذه السلاسل الغذائية.
"
3_9,2,2,"لا تتكون الهائمات أو العوالق التى تتكون بعد عملية التحليل .
"
3_9,0,0,"تنتشر الأمراض و الأوبئة لعدم وجود الكائنات المحللة.
"
3_9,1,0,"يمر النظام البحرى بحالة عدم إستقرار.
"
3_9,4,5,"لا يتم تحليل أجسام الكائنات التى تتحول بفعل حركة المياه إلى الهائمات قيقل عدد السلاسل الغذائية.
"
3_9,0,0,"تنتشر الأمراض و الأوبئة نتيجة عدم تحلل الكائنات الميتة.
"
3_9,1,1,"يمر النظام البحرى بعملية عدم إستقرار لغياب الكائنات المحللة.
"
3_9,2,2,"لا تتكون العوالق النباتية الأساسية لتكوين السلاسل الغذائية.
"
3_10,5,5,"لا تنتقل نسبة كبيرة من الطاقة من حلقة إلى أخرى.
"
3_10,5,5,"إهدار نسبة كبيرة من الطاقة عند الانتقال من حلقة إلى أخرى.
"
3_10,4,5,"يتم إهدار جزء كبير من الطاقة الموجودة فى هذه السلاسل.
"
3_10,5,5,"يتم إهدار الطاقة عند إنتقالها من حلقة إلى أخرى.
"
3_10,0,0,"تتنوع المنتجات التى تتغذى عليها الكائنات البحرية.
"
3_10,0,0,"تتوفر نسبة كبيرة من الغذاء للكائنات البحرية.
"
3_10,5,5,"تهدر نسبة كبيرة من الطاقة عند الانتقال من حلقة إلى أخرى.
"
3_10,0,0,"تجد الكائنات البحرية ما تحتاجه من غذاء.
"
3_10,0,0,"توفير الغذاء اللازم للكائنات البحرية.
"
3_10,5,5,"تقل نسبة الطاقة بسبب الإنتقال من حلقة غلى أخرى.
"
3_11,4,4,"زيادة فى أعداد و أحجام تلك الأشجار و لا تضار إذا كان الرعى منتظما.
"
3_11,5,5,"تزداد أعداد و أحجام تلك الأشجار و الشجيرات نتيجة لإزالة الأعشاب التى تستخدم نفس المياه.
"
3_11,5,5,"تزداد أعداد و أحجام تلك الأشجار و الشجيرات نتيجة لإزالة الأعشاب التى تنافسها على الماء.
"
3_11,3,3,"تزداد أعداد و أحجام تلك الأشجار و الشجيرات.
"
3_11,4,4,"إزالة الأعشاب و بالتالى زيادة احجام الأشجار.
"
3_11,3,3,"تزداد أعداد و كذلك أحجام الأشجار.
"
3_11,0,0,"تستخدم الحيوانات الشجيرات كغذاء لها.
"
3_11,0,0,"ينتج عن ذلك تآكل الغطاء النباتى.
"
3_11,0,0,"يحدث تآكل للغطاء النباتى.
"
3_11,5,5," تتغذى الحيوانات على الأعشاب و بالتالى تستخدم الأشجار الكثير من المياه فتزداد و تنمو.
"
3_12,3,2,"تآكل الغطاء النباتى و سيادة الأنواع غير المستساغة.
"
3_12,2,2,"يحدث تآكل للغطاء النباتى.
"
3_12,4,4,"يحدث تآكل للغطاء النباتى.
"
3_12,4,4,"تآكل الغطاء النباتى و ظهور عوامل التعرية و إنحراف التربة.
"
3_12,4,4,"تدهور الغطاء النباتى و زيادة عوامل التعرية و انجراف التربة.
"
3_12,2,2,"يتآكل الغطاء النباتى.
"
3_12,5,5,"تآكل الغطاء النباتى و زيادة عوامل التعرية و إنجراف التربة و ينتج عن ذلك ظاهرة الزحف الصحراوى.
"
3_12,4,3,"تحدث ظاهرة الزحف الصحراوى نتيجة تآكل الغطاء النباتى.
"
3_12,3,2,"يؤدى إلى انهيار الغطاء النباتى و سيطرة الأنواع الغير مستساغة على البيئة الصحراوية.
"
3_12,4,3,"يؤدى ذلك إلى تدهور التربة مما يؤدى إلى ظاهرة الزحف الصحراوى.
"
3_13,3,4,"يمر النظام البيئى لحالة من عدم الإستقرار.
"
3_13,3,4,"يحدث إختلال للتوزان فى النظام .
"
3_13,3,4,"يؤثر ذلك على استقرار النظام البيئى البحرى.
"
3_13,5,5,"يحدث اختلال لتوزان النظام البيئى نتيجة الإسراف.
"
3_13,3,4,"يمر النظام البيئى بحالة من عدم الاستقرار الجزئى.
"
3_13,3,4,"يؤثر ذلك على إستقرار النظام البيئى البحرى.
"
3_13,5,5,"اختلال لتوازن النظام البيئى نتيجة الإسراف و عدم ترشيد الاستهلاك.
"
3_13,5,5,"اختلال لتوازن النظام البيئى نتيجة الإسراف و عدم ترشيد الاستهلاك.
"
3_13,3,4,"إختلال التوازن و عدم استقرار النظام البحرى.
"
3_13,3,4,"تحدث حالة من عدم الإستقرار للنظام البحرى.
"
4_1,3,3,"لأنه يضم جميع الكائنات الحية و كذلك الكائنات الغير حية.
"
4_1,5,5,"تتعد مكونات النظام حيث يوجد مكونات حية مثل الكائنات المنتجة و المستهلكة و المحللة و كذلك الكائنات الغير حية التى تضم العوامل الفيزيائية و الكيميائية.
"
4_1,3,2,"تتعد المكونات حيث توجد كائنات منتجة للغذاء و كائنات مستهلكة و كائنات محللة.
"
4_1,3,3,"توجد العديد من الكائنات الحية و غير الحية التى تتفاعل مع بعضها لاستقرار النظام.
"
4_1,3,3,"بسبب وجود كائنات منتجة للغذاء و كائنات مستهلكة و كائنات محللة كلا منها يقوم بدوره لحفظ الطبيعة.
"
4_1,5,5,"توجد عوامل غير حية مثل العوامل الفيزيائية و الكيميائية ، كما توجد عوامل حية التى تتنوع من كائنات منتجة و مستهلكة و محللة.
"
4_1,3,2,"لتعدد المكونات الحية و المكونات الغير حية.
"
4_1,0,1,"تعدد مكونات النظام البيئى حيث يوجد كائنات أرضية و كائنات بحرية و كائنات غير حية تتفاعل مع بعضها البعض.
"
4_1,5,5,"تضم كائنات غير حية مثل العوامل الفيزيائية و العوامل الكيميائية وكائنات حية مثل الكائنات المنتجة و المستهلكة للغذاء و كذلك الكائنات المحللة.
"
4_1,3,3,"حيث تتنوع جميع الكائنات الحية و الغير حية للتكيف مع بعضها لاستقرار البيئة.
"
4_2,5,5,"تحليل أجسام الكائنات بعد موتها و تعيد إلى التربة عناصرها الأساسية مثل الكربون و الفسفور و النتيروجين و تساعد على عدم نشر الأمراض و الأوبئة.
"
4_2,5,5,"تحلل الجثث الميتة فتمنع إنتشار الأوبئة و الأمراض، تحلل الجثث فتمنع تراكمها، تحلل الجثث فتعيد للتربة عناصرها الأساسية كالكربون و الفسفور و النتيروجين فتظل ثابتة فى النظام الإيكولوجى.
"
4_2,4,3,"لأنها تحلل أجسام الكائنات الميتة فتمنع انتشار الأمراض.
"
4_2,4,3,"تقوم بتحليل الجثث و تساعد على عدم إنتشار الأمراض و الأوبئة.
"
4_2,4,4,"حيث أنها تعيد للتربة عناصرها الأساسية مثل الفوسفور و الكربون و تمنع انتشار الأمراض.
"
4_2,2,1,"تحلل الجثث فتحمى الطبيعة من الأمراض المختلفة.
"
4_2,4,4,"تعيد للتربة عناصرها الأساسية مثل الكربون و النتيروجين و الفوسفور بعد عملية تحليل الكائنات الميتة مما يساعد على حماية البيئة.
"
4_2,3,3,"لأنها تحلل الكائنات الميتة و تمنع تراكمها و تحمى الطبيعة من الأمراض.
"
4_2,4,3,"تؤمن إستمرار النظام البيئى حيث انها تعيد للتربة عناصرها الاساسية بعد عملية التحلل.
"
4_2,3,3,"تمنع تراكم الكائنات الميتة مما يساعد على عدم إنتشار الأمراض.
"
4_3,3,3,"لأنه يتجه نحو الضوء.
"
4_3,5,5,"يقوم النبات بإفراز مواد محفزة لنمو الخلايا (الأوكسينات) التى تنشط بدرجة أكبر من الضوء فتؤدى لنمو الخلايا التى فى الظلام بدرجة أكبر من نمو الخلايا التى فى الضوء فينحنى النبات ناحية الضوء.
"
4_3,5,5,"يقوم النبات بإفراز الأوكسينات فتؤدى لنمو الخلايا التى فى الظلام بدرجة أكبر من نمو الخلايا التى فى الضوء.
"
4_3,3,3,"لإتجاه الساق ناحية الضوء.
"
4_3,3,3,"نتيجة إتجاه الساق ناحية الضوء.
"
4_3,5,5,"لتراكم المواد المحفزة للنمو (الأوكسينات) فى الجهة البعيدة من الضوء مما يؤدى إلى استطالة خلايا الساق البعيدة عن الضوء بدرجة أكبر من الخلايا المواجهة للضوء، فيتجه الساق نحو الضوء.
"
4_3,4,3,"نتيجة إستطالة خلايا الساق البعيدة عن الضوء أكثر من الخلايا الموجهة للضوء.
"
4_3,3,3,"لأن الساق تتجه ناحية الضوء.
"
4_3,5,5,"لتراكم الأوكسينات فى الجهة البعيدة عن الضوء مما يؤدى لأنحناء الساق تجاه الضوء.
"
4_3,3,3,"لسرعة نمو الخلايا فى الظلام مما يؤدى إلى انحناء الساق ناحية الضوء.
"
4_4,4,4,"لأن التواقت الضوئى غير مناسب.
"
4_4,3,3,"لعدم ملاءمة العوامل الداخلية اللازمة لكى يصل النبات لمرحلة الإزهار.
"
4_4,3,3,"لأن التواقت الضوئى غير مناسب والتواقت الضوئى المناسب يكون فى شهرى اكتوبر ونوفمبر.
"
4_4,5,5,"لعدم ملاءمة العوامل الداخلية و لأن التواقت الضوئى غير مناسب فى هذين الشهرين.
"
4_4,3,2,"لأن العوامل البيئة لا تلائم النبات ليصل لمرحلة الإزهار.
"
4_4,1,0,"لأنه يفضل زراعة القمح فى درجات الحرارة المرتفعة جدا.
"
4_4,1,0,"لأن درجة الحرارة فى فبراير و مارس لا تصل لدرجات الحرارة المطلوبة لزراعة القمح.
"
4_4,3,3,"خلال شهرى فبراير و مارس يكون التواقت الضوئى المسئول عن الإزهار غير مناسب.
"
4_4,1,0,"لعدم ملائمة الأحوال الجوية للزراعة فى الشهرين.
"
4_4,5,4,"لعدم ملائمة التفاعلات الداخلية و التواقت الزمنى الغير مناسب يمنع الإزهار.
"
4_5,5,5,"لأنها تهاجر بحثا عن الدفء و الغذاء حيث ثبت أن طول النهار يؤثر على نشاط الطيور وزيادة حجم الغدد الجنسية.
"
4_5,5,5,"لأن طول فترة النهار يؤثر على نشاط الطيور و زيادة حجم الغدد الجنسية.
"
4_5,5,5,"زيادة النشاط الجنسى للطيور فى فصل الربيع مما يسمح للطيور بفترة أطول للبحث عن الغذاء وهذا يؤثر على نشاط الطيور و يزيد من حجم الغدد التناسلية.
"
4_5,5,5,"لأن طول فترة النهار يؤثر على نشاط الطيور و زيادة حجم الغدد الجنسية.
"
4_5,5,5,"لأن طول فترة النهار يؤثر على نشاط الطيور و زيادة حجم الغدد الجنسية.
"
4_5,5,5,"لأنه ثبت أن طول فترة النهار يؤثر على نشاط الطيور و حجم الغدد الجنسية.
"
4_5,5,5,"لأن حجم الغدد الجنسية يزداد بطول فترة النهار مما يساعد على نشاط الطيور.
"
4_5,5,5,"طول فترة النهار فى فصل الربيع يؤثر على نشاط الطيور و على نشاط الغدد الجنسية.
"
4_5,5,5,"لأنه ثبت أن طول فترة النهار يؤثر على نشاط الطيور الذى يؤثر بدوره فى حجم الغدد الجنسية الذى يزداد بزيادة طول فترة النهار و يقل بنقصانها.
"
4_5,3,3,"لملائمة الأحوال الجوية فى النهار حيث تحتاج الطيور إلى الدفء.
"
